Sample GSI YEAR MONTH Location Sex
NA NA NA NA NA NA NA
24 24 5.297 1 5 1 1
48 48 4.2968 1 5 3 1
58 58 3.5008 1 6 1 1
60 60 3.2487 1 6 1 1
61 61 3.2304 1 6 1 1
62 62 3.2263 1 5 3 1
63 63 3.1848 1 6 1 1
65 65 2.9683 1 6 1 1
66 66 2.9544 1 5 1 1
67 67 2.939 1 6 1 1
68 68 2.9327 1 5 1 1
69 69 2.8933 1 6 1 1
70 70 2.8593 1 6 1 1
71 71 2.8534 1 5 1 1
72 72 2.8188 1 6 1 1
73 73 2.8129 1 6 1 1
74 74 2.8037 1 6 1 1
75 75 2.7928 1 6 1 1
77 77 2.6601 1 5 1 1
78 78 2.6492 1 6 1 1
79 79 2.6353 1 5 3 1
80 80 2.6341 1 5 1 1
81 81 2.6241 1 5 1 1
82 82 2.6151 1 5 3 1
83 83 2.6064 1 5 1 1
84 84 2.5951 1 5 1 1
85 85 2.5781 1 4 3 1
86 86 2.5674 1 5 1 1
87 87 2.5616 1 5 1 1
88 88 2.5545 1 6 1 1
89 89 2.5526 1 5 1 1
90 90 2.499 1 6 1 1
91 91 2.4789 1 6 1 1
92 92 2.4606 1 6 1 1
94 94 2.4425 1 6 1 1
95 95 2.4356 1 5 1 1
96 96 2.4238 1 5 1 1
97 97 2.4145 1 5 1 1
98 98 2.4062 1 6 3 1
99 99 2.4038 1 5 1 1
100 100 2.402 1 6 3 1
101 101 2.4006 1 6 3 1
103 103 2.3976 1 5 1 1
104 104 2.3923 1 5 3 1
105 105 2.3882 1 5 1 1
106 106 2.3848 1 6 3 1
107 107 2.3847 1 5 1 1
108 108 2.3746 1 5 3 1
109 109 2.3731 1 5 1 1
110 110 2.3723 1 5 1 1
111 111 2.3714 1 5 1 1
112 112 2.3496 1 6 1 1
113 113 2.3495 1 6 1 1
114 114 2.3282 1 5 1 1
115 115 2.3251 1 5 1 1
116 116 2.322 1 5 1 1
117 117 2.3018 1 6 1 1
118 118 2.3011 1 5 1 1
119 119 2.3 1 5 3 1
120 120 2.286 1 6 1 1
121 121 2.2739 1 5 3 1
122 122 2.2397 1 5 1 1
123 123 2.2392 1 5 1 1
124 124 2.2346 1 5 1 1
125 125 2.2333 1 5 3 1
126 126 2.2233 1 5 1 1
127 127 2.2004 1 5 1 1
128 128 2.187 1 5 1 1
129 129 2.1861 1 5 3 1
130 130 2.1664 1 6 1 1
132 132 2.1571 1 3 3 1
133 133 2.1351 1 6 1 1
134 134 2.1322 1 5 1 1
135 135 2.0922 1 5 1 1
136 136 2.0816 1 5 1 1
137 137 2.0776 1 4 3 1
138 138 2.0694 1 5 1 1
139 139 2.0692 1 5 1 1
140 140 2.0688 1 5 1 1
141 141 2.058 1 5 1 1
142 142 2.0413 1 5 3 1
143 143 2.0259 1 3 3 1
144 144 2.0219 1 5 3 1
145 145 2.0017 1 6 1 1
146 146 1.9842 1 5 1 1
147 147 1.9821 1 5 1 1
148 148 1.9814 1 4 3 1
149 149 1.9621 1 4 3 1
150 150 1.9606 1 5 3 1
151 151 1.9531 1 5 3 1
152 152 1.9021 1 4 3 1
153 153 1.8667 1 6 1 1
154 154 1.8623 1 4 3 1
155 155 1.8468 1 5 1 1
156 156 1.8295 1 5 3 1
157 157 1.8123 1 6 1 1
158 158 1.7984 1 5 1 1
159 159 1.7695 1 4 3 1
161 161 1.7217 1 4 3 1
162 162 1.7187 1 6 1 1
163 163 1.6963 1 6 1 1
164 164 1.6953 1 5 1 1
165 165 1.6927 1 5 1 1
166 166 1.6779 1 5 1 1
167 167 1.6679 1 3 3 1
168 168 1.6669 1 5 1 1
169 169 1.616 1 5 3 1
170 170 1.6157 1 4 3 1
171 171 1.6 1 3 1 1
173 173 1.5658 1 5 1 1
174 174 1.5652 1 4 3 1
175 175 1.5375 1 5 1 1
176 176 1.5303 1 4 3 1
177 177 1.5284 1 5 3 1
180 180 1.5011 1 5 1 1
183 183 1.4546 1 4 3 1
185 185 1.4418 1 3 1 1
187 187 1.4348 1 5 1 1
188 188 1.4332 1 3 1 1
189 189 1.4224 1 4 3 1
190 190 1.3878 1 5 1 1
191 191 1.3794 1 3 1 1
192 192 1.3694 1 3 3 1
194 194 1.3306 1 3 1 1
195 195 1.3258 1 3 3 1
196 196 1.309 1 2 1 1
197 197 1.2717 1 5 1 1
198 198 1.261 1 1 1 1
199 199 1.2585 1 5 1 1
200 200 1.2556 1 5 1 1
201 201 1.2392 1 5 1 1
202 202 1.2091 1 3 3 1
203 203 1.2007 1 3 3 1
204 204 1.1997 1 1 1 1
205 205 1.1983 1 3 1 1
206 206 1.181 1 6 3 1
207 207 1.1784 1 5 1 1
208 208 1.1496 1 3 3 1
209 209 1.147 1 2 1 1
210 210 1.1318 1 5 1 1
211 211 1.1313 1 3 3 1
214 214 1.0964 1 3 3 1
217 217 1.0419 1 3 1 1
221 221 1.0226 1 3 1 1
222 222 1.0218 1 5 1 1
223 223 1.0215 1 3 3 1
225 225 0.9874 1 5 1 1
227 227 0.9868 1 4 3 1
228 228 0.9824 1 2 1 1
229 229 0.968 1 5 1 1
231 231 0.9479 1 3 1 1
232 232 0.9418 1 4 3 1
234 234 0.9219 1 2 1 1
235 235 0.9172 1 3 3 1
236 236 0.9 1 4 3 1
237 237 0.8954 1 4 3 1
238 238 0.8877 1 3 1 1
239 239 0.8876 1 5 1 1
240 240 0.8761 1 5 1 1
242 242 0.8567 1 5 1 1
244 244 0.8373 1 1 1 1
245 245 0.8111 1 5 1 1
246 246 0.799 1 3 3 1
249 249 0.7294 1 3 3 1
250 250 0.7004 1 3 1 1
251 251 0.6882 1 3 3 1
252 252 0.6839 1 3 1 1
253 253 0.6767 1 3 3 1
254 254 0.6748 1 5 1 1
256 256 0.66 1 4 3 1
257 257 0.6459 1 3 3 1
262 262 0.5876 1 4 3 1
263 263 0.5798 1 4 3 1
265 265 0.5685 1 2 1 1
267 267 0.556 1 3 1 1
268 268 0.5558 1 5 1 1
269 269 0.5556 1 5 1 1
270 270 0.5533 1 3 1 1
271 271 0.5518 1 1 3 1
272 272 0.5493 1 3 1 1
274 274 0.5444 1 3 3 1
275 275 0.5318 1 2 1 1
276 276 0.5307 1 3 1 1
277 277 0.5175 1 6 1 1
278 278 0.4943 1 4 3 1
279 279 0.4921 1 1 1 1
280 280 0.4832 1 3 3 1
281 281 0.4808 1 1 1 1
282 282 0.4774 1 3 1 1
283 283 0.4756 1 2 3 1
284 284 0.4653 1 3 1 1
285 285 0.4506 1 5 1 1
286 286 0.4377 1 6 1 1
287 287 0.4259 1 4 3 1
288 288 0.4132 1 2 3 1
289 289 0.3976 1 4 3 1
290 290 0.3905 1 3 1 1
291 291 0.3904 1 3 3 1
297 297 0.343 1 4 3 1
298 298 0.3421 1 3 1 1
302 302 0.3289 1 1 1 1
304 304 0.3122 1 2 1 1
306 306 0.3041 1 4 3 1
307 307 0.3039 1 3 1 1
308 308 0.3028 1 3 1 1
310 310 0.2895 1 3 1 1
312 312 0.287 1 2 3 1
317 317 0.2758 1 1 1 1
318 318 0.2739 1 3 3 1
319 319 0.2738 1 2 3 1
320 320 0.2683 1 2 3 1
321 321 0.265 1 3 3 1
327 327 0.2577 1 2 3 1
328 328 0.2529 1 2 3 1
329 329 0.2506 1 1 1 1
330 330 0.2463 1 3 3 1
332 332 0.2352 1 3 3 1
337 337 0.2252 1 3 1 1
338 338 0.2242 1 5 1 1
340 340 0.2214 1 2 1 1
341 341 0.2207 1 2 1 1
342 342 0.2204 1 2 1 1
346 346 0.2189 1 2 3 1
